cod_cor,denumire_ocupatie
731714,"confecționer cuțite, brice, brățări, andrele, agrafe, inele"
821905,"confecționer de bețe, lansete, mânere și dopuri pentru unelte de pescuit"
812226,confecționer de elemente galvanice
814103,confecționer de produse industriale din cauciuc
813144,confecționer fitile
731906,confecționer flori artificiale
814107,confecționer garnituri de etanșare din cauciuc
731705,confecționer garnituri pentru etanșare
752308,confecționer gămălii chibrituri
712408,confecționer vitraje izolante
821204,confecționer grătare și accesorii pentru acumulatori
812219,confecționer izolații la conductori electrici
731812,confecționer îmbrăcare volane în piele
753111,"confecționer îmbrăcăminte din piele și înlocuitori, după comandă"
753603,confecționer încălțăminte ortopedică
731904,confecționer jaluzele
731702,confecționer jucării
821219,confecționer lămpi cu vapori de mercur
821220,confecționer lămpi cu vapori de sodiu
821218,confecționer lămpi fluorescente
812220,confecționer mantale de plumb prin presare la cabluri
731806,confecționer manual de produse din sfori sau frânghii
731901,confecționer manual în metaloplastie
731721,confecționer materiale didactice pentru științele naturii
731723,confecționer mături
752322,confecționer mine pentru creioane
